Actors,Title,X,Y
 Megumi Ohara,Doraemon the Movie: Nobita and the Steel Troops,2011,7.4
 Megumi Ohara,Doraemon the Movie: Nobita in the Secret Gadget Museum,2013,6.8
 Megumi Ohara,Doraemon the Movie: Nobita and the Space Heroes,2015,6.5
 Megumi Ohara,Doraemon the Movie: Nobitas Treasure Island,2016,6.7
 Megumi Ohara,Doraemon the Movie: Nobita and the Birth of Japan 2016,2016,6.7
 Megumi Okina,Ju-on: The Grudge,2003,6.7
 Megumi Seki,"The Foreign Duck, the Native Duck and God",2007,7.1
 Megumi Toda,New Game!,2016,7.1
 Megumi Toyoguchi,Black Lagoon,2006,8
 Mehdi Benatia,First Team: Juventus,2018,7.3
 Mehdi Dehbi,A Most Wanted Man,2014,6.8
 Mehdi Dehbi,London Has Fallen,2016,5.9
 Mehdi Dehbi,Messiah,2020,7.6
 Mehdi Hashemi,Alzheimers,2011,5.4
 Mehdi Kerkouche,Lets Dance,2019,5.9
 Mehmet Esen,Ketenpere,2017,4.4
 Mehmet Günsür,Aşk Tesadüfleri Sever,2011,7.3
 Mehmet Günsür,İstanbul Kırmızısı,2017,5.5
 Mehmet Kurtulus,Clair Obscur,2016,6.5
 Mehmet Selim Akgul,Osman Pazarlama,2016,3.3
 Mehmet Çepiç,Yunus Emre,2015,7.9
 Mehmood Aslam,Teefa in Trouble,2018,7.2
 Mehran Ahmadi,Alzheimers,2011,5.4
 Mei Higashimura,Re:Mind,2018,5
 Mei Kayama,37 Seconds,2020,7.3
 Mei Nagano,Fugitive Boys,2017,4.5
 Mei Nagano,Daytime Shooting Star,2017,6.8
 Meike Droste,Mord mit Aussicht,2008,8.1
 Meike Droste,Ein Mord mit Aussicht,2015,6.5
 Meiko Chonnikan Netjui,Bangkok Love Stories: Hey You!,2018,7
 Meira Durand,Hier kommt: Lola,2010,5.8
 Meisa Kuroki,One Missed Call 3: Final,2006,5
 Meisa Kuroki,Crows: Episode Zero,2007,7.1
 Meisa Kuroki,Crows: Episode Zero II,2009,7.2
 Mekhi Phifer,Pandemic,2016,4.4
 Mekhi Phifer,Pandemic,2016,4.4
 Mel B,Chocolate City: Vegas Strip,2017,3.8
 Mel Brooks,The Guardian Brothers,2016,5.5
 Mel Gibson,Mad Max,1980,6.9
 Mel Gibson,Mad Max 2: The Road Warrior,1982,7.6
 Mel Gibson,Lethal Weapon,1987,7.6
 Mel Gibson,Bird on a Wire,1990,6
 Mel Gibson,Ransom,1996,6.7
 Mel Gibson,Conspiracy Theory,1997,6.7
 Mel Gibson,What Women Want,2000,6.4
 Mel Gibson,Whats New Scooby-Doo?,2000,6.4
 Mel Gibson,The Patriot,2000,7.2
 Mel Gibson,Whats Up?,2000,6.4
 Mel Gibson,We Were Soldiers,2002,7.2
 Mel Gibson,Edge of Darkness,2010,6.6
 Mel Gibson,How I Spent My Summer Vacation,2012,7
 Mel Gibson,Machete Kills,2013,5.6
 Mel Gibson,Blood Father,2016,6.4
 Mel Gibson,Daddys Home 2,2017,6
 Mel Gibson,The Professor and the Madman,2019,7.3
 Mel Gibson,Dragged Across Concrete,2019,6.9
 Mel Gibson,Force of Nature,2020,4.5
 Mel Giedroyc,The Great British Baking Show: Holidays,2010,8.6
 Mel Giedroyc,The Great British Baking Show: Masterclass,2010,8.6
 Mel Giedroyc,The Great British Baking Show: The Beginnings,2010,8.6
 Mel Giedroyc,The Great British Baking Show,2010,8.6
 Mel Harris,K-9,1989,6
 Mel Lisboa,Most Beautiful Thing,2020,7.9
 Mel Raido,The Disappointments Room,2016,3.9
 Mel Tormé,Daffy Ducks Quackbusters,1988,7.2
 Mela Lee,Fate/stay night: Unlimited Blade Works,2014,8
 Mela Lee,Miraculous: Tales of Ladybug and Cat Noir,2015,7.8
 Mela Lee,A Christmas Special: Miraculous: Tales of Ladybug and Cat Noir,2015,7.8
 Melani Olivares,Welcome to the Family,2018,6.7
 Melanie Chandra,For Here or to Go?,2017,6.8
 Melanie Griffith,Now and Then,1995,6.8
 Melanie Griffith,Dark Tourist,2013,5.1
 Melanie Latooy,Project Gio,2019,1.9
 Melanie Lynskey,Rainbow Time,2016,5.9
 Melanie Lynskey,I Dont Feel at Home in This World Anymore,2017,6.9
 Melanie Lynskey,Little Boxes,2017,5.9
 Melanie Lynskey,Castle Rock,2018,7.6
 Melanie Nelson,12 Gifts of Christmas,2015,6.5
 Melanie Papalia,You Me Her,2016,7
 Melanie Scrofano,Bad Blood,2018,7.5
 Melba Moore,All Dogs Go to Heaven,1989,6.8
 Melchior Derouet,Imagine,2013,7.4
 Melia Kreiling,Healer,2017,6.8
 Melih Abuaf,OHA Diyorum,2017,1.9
 Melika Foroutan,Tribes of Europa,2021,6.2
 Melike Yalova,Can Feda,2018,5.4
 Melina Abdullah,13TH,2016,8.3
 Melina Abdullah,"Hello, Privilege. Its Me, Chelsea",2019,4.3
 Melinda Elvenes,Styling Hollywood,2019,6.7
 Melinda Kinnaman,A Dogs Journey,1987,7.5
 Melinda McGraw,Wrongfully Accused,1998,6.2
 Melis Babadag,Brother in Love,2019,7.1
 Melis Birkan,Alone,2008,6.8
 Melis Birkan,Alone,2008,6.8
 Melis Birkan,46,2016,8.4
 Melisa Sözen,Subat,2012,8.1
 Melissa Benoist,Supergirl,2015,6.3
 Melissa Benoist,Sun Dogs,2018,6.3
 Melissa Bernstein,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2019,7.2
 Melissa Butler,She Did That,2019,6.8
 Melissa Cookston,The American Barbecue Showdown,2020,7.2
 Melissa Dullius,Muito Romantico,2017,5.7
 Melissa Fahn,Invader Zim: Enter the Florpus,2019,7.5
 Melissa Fahn,Promare,2019,7.1
 Melissa Fahn,Fate/stay night: Heavens Feel II. Lost Butterfly,2019,8
 Melissa Fahn,Ghost in the Shell: SAC_2045,2020,6.3
 Melissa Fumero,Brooklyn Nine-Nine,2013,8.4
 Melissa Garcia,Irmão do Jorel,2014,9.1
 Melissa George,Turistas,2006,5.4
 Melissa George,30 Days of Night,2007,6.6
 Melissa George,Triangle,2009,6.9
 Melissa Holroyd,Speed Racer,2008,6
 Melissa Hutchison,Yo-Kai Watch,2015,5.9
 Melissa McCarthy,Identity Thief,2013,5.7
 Melissa McCarthy,The Heat,2013,6.6
 Melissa McCarthy,Tammy,2014,4.9
 Melissa McCarthy,St. Vincent,2014,7.2
 Melissa McCarthy,Spy,2015,7
 Melissa McCarthy,Life of the Party,2018,5.6
 Melissa McCarthy,The Happytime Murders,2018,5.4
 Melissa McCarthy,The Kitchen,2019,5.5
 Melissa Mohr,History of Swear Words,2021,6.5
 Melissa O'Neil,Dark Matter,2015,7.5
 Melissa Reese,Pat the Dog,2017,6.3
 Melita Jurisic,Murer: Anatomy of a Trial,2018,7.1
 Meliz Karlge,Johan Falk,2009,6.9
 Melle Mel,Hip-Hop Evolution,2016,8.4
 Melody Chen,The Teenage Textbook Movie,1998,6.7
 Melora Hardin,The Bold Type,2017,8
 Melora Walters,The Butterfly Effect,2004,7.6
 Melora Walters,The Lovers,2017,6.1
 Melora Walters,Cam,2018,5.9
 Melvil Poupaud,Feelings,2003,6.3
 Melvil Poupaud,Laurence Anyways,2013,7.7
 Melvil Poupaud,By the Sea,2015,5.3
 Melvil Poupaud,By the Grace of God,2019,7.2
 Melvin Sia,To the Dearest Intruder,2015,6.2
 Mena Suvari,Ill Be Home for Christmas,2016,6.1
 Menashe Lustig,Menashe,2017,6.5
 Menashe Lustig,The Vigil,2021,5.5
 Meng Lai,Where Got Ghost?,2009,4.9
 Meng Lai,Dance Dance Dragon,2012,5.7
 Meng Lo,The Five Venoms,1978,7.1
 Meng Lo,Five Elements Ninjas,1982,7.3
 Mengjie Jiang,The Big Call,2017,5.6
 Mengjie Jiang,Love Off the Cuff,2017,6.5
 Menna Shalabi,I Love Cinema,2004,6.5
 Menna Shalabi,Love Station,2011,5.5
 Menzi Ngubane,In My Country,2004,6
 Menzi Ngubane,How to Steal 2 Million,2011,5.5
 Merab Ninidze,Nowhere in Africa,2003,7.5
 Merab Ninidze,My Happy Family,2017,7.4
 Merab Ninidze,Happy Family,2017,7.4
 Merab Ninidze,McMafia,2018,7.7
 Meral Niazi,Hajwala 2: Mysterious Mission,2018,3.8
 Meral Polat,De Boskampis,2015,7
 Meral Polat,Meet Me in Venice,2015,6.4
 Merata Mita,Merata: How Mum Decolonised the Screen,2019,7
 Mercedes Cabral,Rosita,2015,6.3
 Mercedes Cabral,Aurora,2019,4.3
 Mercedes Morán,The Motorcycle Diaries,2004,7.8
 Meredith Baxter,Family Ties,1982,7.2
 Merel de Zwart,100% Coco,2017,4.6
 Meret Becker,Wetlands,2013,5.8
 Meric Aral,The Way We Are,2020,5.6
 Merle Dandridge,Greenleaf,2016,7.4
 Merle Kennedy,Nemesis,1992,5.4
 Merle Oberon,Over the Moon,1940,5.6
 Merlín Atahualpa Mollo Oreiro,Nasha Natasha,2020,6.5
 Merna Kennedy,The Circus,1928,8.1
 Merrie Lynn Ross,Class of 83,1982,6.6
 Merrin Dungey,Summerland,2004,6.9
 Merritt Patterson,Wolves,2014,5.3
 Merritt Patterson,Unbroken: Path to Redemption,2018,5.8
 Merritt Wever,Unbelievable,2019,8.4
 Merryn Pearse,The Woman in Black 2: Angel of Death,2015,4.8
 Mert Turak,Babamın Ceketi,2018,4.9
 Merve Ates,Siccin,2014,6.2
 Merve Ates,Siccin 5,2018,5.8
 Merve Çagiran,Kaybedenler Kulubu,2018,6
 Merwin Mondesir,Grave Encounters,2011,6.1
 Meryl Streep,Kramer vs. Kramer,1979,7.8
 Meryl Streep,Sophies Choice,1983,7.6
 Meryl Streep,Out of Africa,1985,7.2
 Meryl Streep,The Bridges of Madison County,1995,7.6
 Meryl Streep,Adaptation.,2003,7.7
 Meryl Streep,The Devil Wears Prada,2006,6.9
 Meryl Streep,The Ant Bully,2006,5.8
 Meryl Streep,Its Complicated,2009,6.5
 Meryl Streep,Julie and Julia,2009,7
 Meryl Streep,The Iron Lady,2012,6.4
 Meryl Streep,Hope Springs,2012,6.3
 Meryl Streep,The Iron Lady,2012,6.4
 Meryl Streep,The Giver,2014,6.5
 Meryl Streep,August: Osage County,2014,7.2
 Meryl Streep,Ricki and the Flash,2015,5.9
 Meryl Streep,Florence Foster Jenkins,2016,6.8
 Meryl Streep,The Post,2018,7.2
 Mesfin Lamengo,Uncut Gems,2019,7.4
 Method Man,How High,2001,6.3
 Method Man,Keanu,2016,6.3
 Method Man,Wheres the Money,2017,5.1
 Metin Akdülger,One-Way to Tomorrow,2020,5.7
 Metin Yildirim,Üç Harfliler 3: Karabüyü,2016,6.6
 Mette Holt,The Whispering,1996,3.5
 Meyer DeLeeuw,Space Racers,2014,7.3
 Mhamed Arezki,Mohamed Dubois,2013,5
 Mi Yang,The Bullet Vanishes,2012,6.6
 Mi Yang,Love In The Buff,2012,6.8
 Mi Yang,Tiny Times 2,2013,3.3
 Mi Yang,Tiny Times,2013,3.1
 Mi Zhou,Best Lover,2016,5.7
 Mi-hee Chang,Claires Camera,2018,6.5
 Mi-ran Ra,The Himalayas,2016,6.5
 Mi-ran Ra,The Dude In Me,2019,6.9
 Mi-seon Hwang,Happy End,1999,6.9
 Mi-seon Jeon,The Moon Embracing the Sun,2012,8
 Mi-seon Jeon,Hide and Seek,2013,6.4
 Mi-seon Jeon,Who Are You: School 2015,2015,7.7
 Mi-so Lee,A Man and a Woman,2016,6.8
 Mi-yeon Lee,No. 3,1997,6.5
 Mi-yeon Lee,Typhoon,2005,5.8
 Mi-yeon Lee,A Company Man,2012,6.7
 Mi-yeon Lee,Like for Likes,2016,6.1
 Mia Ella Mimica,Sid the Science Kid,2008,5.4
 Mia Farrow,Rosemarys Baby,1968,8
 Mia Farrow,A Midsummer Nights Sex Comedy,1982,6.6
 Mia Farrow,Alice,1991,6.6
 Mia Farrow,Arthur and the Invisibles,2007,6
 Mia Farrow,Arthur 3: The War of the Two Worlds,2010,5.5
 Mia Goth,A Cure for Wellness,2017,6.4
 Mia Goth,Marrowbone,2018,6.7
 Mia Goth,High Life,2019,5.8
 Mia Kasalo,Das Pubertier,2017,5.1
 Mia Lyhne,Klown,2010,7.2
 Mia Lyhne,Small Town Killers,2017,5.3
 Mia Milnes,Bureau of Magical Things,2018,6.7
 Mia Quiney,Ophelia,2019,6.6
 Mia Sara,Ferris Buellers Day Off,1986,7.8
 Mia Skäringer,Ängelby,2015,6.1
 Mia Skäringer,The 100-Year-Old Man Who Climbed Out of the Window and Disappeared,2015,7.1
 Mia Stallard,Paul,2011,7
 Mia Wasikowska,The Kids Are All Right,2010,7
 Mia Wasikowska,Jane Eyre,2011,7.3
 Mia Wasikowska,Only Lovers Left Alive,2013,7.3
 Mia Wasikowska,Crimson Peak,2015,6.5
 Mia Wasikowska,Maps to the Stars,2015,6.2
 Mia Wasikowska,Madame Bovary,2015,5.7
 Mia Wasikowska,Damsel,2018,5.5
 Mia Wasikowska,Piercing,2019,5.6
 Miah Madden,THE UNLISTED,2019,6.5
 Micaela Cyrinio,Carta Para Além dos Muros,2019,8.4
 Micaela Ramazzotti,The First Beautiful Thing,2010,7.1
 Micaela Ramazzotti,Qualcosa di nuovo,2016,5.7
 Micah Hauptman,Rust Creek,2020,5.9
 Micah Lynn Hanson,Like Arrows,2018,6.5
 Micah Mason,Circus of Books,2020,7
 Micah Shapero,Concussion,2013,5.7
 Micah Sloat,Paranormal,2009,6.3
 Micah Solusod,Seraph of the End,2015,7.5
 Micah Solusod,ReLIFE,2016,7.8
 Micah Solusod,Black Clover,2017,8.1
 Micah Solusod,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?,2017,7.3
 Micha Lescot,Redoubtable,2017,6.6
 Micha Lescot,Ares,2017,6.3
 Michael 'Caveman' Pyle,Car Masters: Rust to Riches,2018,8.8
 Michael 'Xeno' Langebeck,Step Up: Revolution,2012,6.4
 Michael A. Adams,Meridian,2016,7
 Michael A. Nickles,Holly Star,2018,5.2
 Michael Adamthwaite,Louis & Luca - The Big Cheese Race,2016,6.3
 Michael Adamthwaite,The 9th Life of Louis Drax,2016,6.3
 Michael Adamthwaite,ninjago,2019,7.7
 Michael Alexis Palmer,Pretend It’s a City,2021,8.2
 Michael Alison,Bobby Sands: 66 Days,2016,7.2
 Michael Aloni,Shtisel,2018,8.6
 Michael Aloni,When Heroes Fly,2018,7.2
 Michael Alpert,Soul Exodus,2016,7.2
 Michael Angarano,The Forbidden Kingdom,2008,6.6
 Michael Angarano,Red State,2011,6.2
 Michael Angarano,Haywire,2012,5.8
 Michael Angarano,The Stanford Prison Experiment,2015,6.9
 Michael Angarano,In a Relationship,2020,5.5
 Michael B. Banffy,Calum von Moger: Unbroken,2019,6.2
 Michael B. Jordan,Chronicle,2012,7
 Michael B. Jordan,Fruitvale Station,2013,7.5
 Michael B. Jordan,That Awkward Moment,2014,6.2
 Michael B. Jordan,Fantastic Four,2015,4.3
 Michael B. Jordan,Creed,2015,7.6
 Michael B. Jordan,Creed II,2018,7.1
 Michael Bacall,Spivak,2018,5.5
 Michael Bailey Smith,The Hills Have Eyes,2006,6.4
 Michael Banks Repeta,The Devil All The Time,2020,7.1
 Michael Barryte,Jerry Seinfeld: Im Telling You for the Last Time,1998,7.9
 Michael Bates,A Clockwork Orange,1972,8.3
 Michael Bearden,Gaga: Five Foot Two,2017,7
 Michael Beattie,Swept Away,2002,3.6
 Michael Beck,The Warriors,1979,7.6
 Michael Bell,Alvin and the Chipmunks Meet Frankenstein,1999,6.2
 Michael Beran,Cosy Dens,1999,8.2
 Michael Biehn,Aliens,1986,8.3
 Michael Biehn,Aliens,1986,8.3
 Michael Biehn,The Abyss,1989,7.5
 Michael Biehn,Deadfall,1993,4
 Michael Birkeland,Teachers,2004,4.7
 Michael Birkeland,Hoops,2004,5.7
 Michael Blieden,Melvin Goes to Dinner,2003,6.8
 Michael Boatman,Hamburger Hill,1987,6.7
 Michael Bodnar,The In-Laws,2003,5.8
 Michael Bodnar,The In-Laws,2003,5.8
 Michael Bofshever,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2019,7.2
 Michael Bolton,"Michael Boltons Big, Sexy Valentines Day Special",1994,5.9
 Michael Bowen,The Ryan White Story,1989,7.3
 Michael Bowen,The Last House on the Left,2009,6.5
 Michael Brandner,Hubert und Staller: Die ins Gras beissen,2013,7.2
 Michael Brandner,Hubert und Staller,2016,6.8
 Michael Brandner,Hubert und Staller - Unter Wölfen,2016,6.8
 Michael Brandon,Thomas and Friends: Calling All Engines,2005,6.2
 Michael Brandon,Thomas and Friends,2007,6.6
 Michael Brandon,Thomas and Friends: Misty Island Rescue,2010,5
 Michael Brons,QLIMAX THE SOURCE,2020,7.6
 Michael Brown Sr.,Whose Streets?,2017,5.4
 Michael Buie,The Next Three Days,2010,7.3
 Michael C. Hall,Gamer,2009,5.8
 Michael C. Pizzuto,Black Butler,2008,7.8
 Michael C. Pizzuto,KENGAN ASHURA,2019,8
 Michael C. Williams,The Blair Witch Project,1999,6.5
 Michael Caine,On Deadly Ground,1994,4.6
 Michael Caine,Bewitched,2005,4.8
 Michael Caine,Batman Begins,2005,8.2
 Michael Caine,Journey 2: The Mysterious Island,2012,5.8
 Michael Caine,Going in Style,2017,6.6
 Michael Caine,King of Thieves,2019,5.5
 Michael Campion,Fuller House,2016,6.8
 Michael Cera,Arrested Development,2003,8.7
 Michael Cera,Juno,2007,7.4
 Michael Cera,Superbad,2007,7.6
 Michael Cera,Year One,2009,4.9
 Michael Cera,Scott Pilgrim vs. the World,2010,7.5
 Michael Cera,A Very Murray Christmas,2015,5.5
 Michael Cera,Sausage Party,2016,6.1
 Michael Cera,The Lego Batman Movie,2017,7.3
 Michael Cera,Mollys Game,2018,7.4
 Michael Chance,12 Monkeys,1996,8
 Michael Che,Michael Che Matters,2016,7.2
 Michael Chernus,Easy,2016,6.9
 Michael Chernus,The Most Hated Woman in America,2017,6.1
 Michael Chernus,The Dinner,2017,4.5
 Michael Chiklis,Surfers Time,2007,5.6
 Michael Chiklis,Eagle Eye,2008,6.6
 Michael Chiklis,Parker,2013,6.2
 Michael Chiklis,When the Game Stands Tall,2014,6.7
 Michael Chiklis,Rupture,2017,4.8
 Michael Chiklis,The Legend of Secret Pass,2019,5
 Michael Clarke Duncan,The Whole Nine Yards,2000,6.7
 Michael Clarke Duncan,Planet of the Apes,2001,5.7
 Michael Clarke Duncan,The Scorpion King,2002,5.5
 Michael Coleman,Masters Of The Sea,2006,8.3
 Michael Collins,Apollo 11,2019,8.2
 Michael Conner Humphreys,Forrest Gump,1994,8.8
 Michael Connors,Toomelah,2011,6.2
 Michael Conrad,The Longest Yard,1974,7.1
 Michael Consiglio,The Bet,2016,4
 Michael Constantine,My Big Fat Greek Wedding,2002,6.6
 Michael Constantine,My Big Fat Greek Wedding 2,2016,6
 Michael Coristine,Love Disease,2000,3.9
 Michael Crane,Winters Tale,2014,6.2
 Michael Cudlitz,Dark Tourist,2013,5.1
 Michael David,The Manson Family Massacre,2019,3
 Michael Denkha,The Code,2014,7.4
 Michael Dolan,Hamburger Hill,1987,6.7
 Michael Domnitz,Three Identical Strangers,2018,7.6
 Michael Donovan,Fate/stay night: Heavens Feel II. Lost Butterfly,2019,8
 Michael Dorman,Triangle,2009,6.9
 Michael Douglas Cake,Real Detective,2016,8.1
 Michael E. Williamson,Open Water,2004,5.7
 Michael Ealy,Seven Pounds,2008,7.6
 Michael Ealy,Takers,2010,6.2
 Michael Ealy,Think Like a Man,2012,6.5
 Michael Ealy,Underworld: Awakening,2012,6.4
 Michael Ealy,About Last Night,2014,6.1
 Michael Ealy,The Perfect Guy,2015,5.6
 Michael Ealy,The Intruder,2019,5.6
 Michael Ealy,Jacobs Ladder,2019,3.5
 Michael Eklund,The Call,2013,6.7
 Michael Eklund,The Call,2013,6.7
 Michael Eklund,The Call,2013,6.7
 Michael Eklund,Vendetta,2015,4.7
 Michael Eklund,Cold Pursuit,2019,6.2
 Michael Eklund,Welcome to Sudden Death,2020,4.2
 Michael Esper,Frances Ha,2013,7.5
 Michael Fairman,Dead Silence,2007,6.2
 Michael Fassbender,Macbeth,2015,6.6
 Michael Fassbender,Song to Song,2017,5.7
 Michael Ford-FitzGerald,Rebellion,2016,7.1
 Michael Franzese,Fear City: New York vs The Mafia,2020,7.1
 Michael Gambon,Sleepy Hollow,1999,7.3
 Michael Gambon,Harry Potter and the Half-Blood Prince,2009,7.6
 Michael Gambon,Harrys Daughters,2011,8.1
 Michael Gambon,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
 Michael Gambon,Paddington 2,2018,7.8
 Michael Gambon,The Last Witness,2018,5.6
 Michael Garza,Scary Stories to Tell in the Dark,2019,6.2
 Michael Gross,Family Ties,1982,7.2
 Michael Gross,Tremors 6: A Cold Day in Hell,2018,5
 Michael Gross,Tremors: Shrieker Island,2020,5.5
 Michael Hanegbi,Suicide (Hitabdut),2015,5.8
 Michael Harbour,Bluebell,1986,8.5
 Michael Harding,Just Mercy,2020,7.6
 Michael Hartney,The Break with Michelle Wolf,2018,5.2
 Michael Hawley,Carmen Sandiego: To Steal or Not to Steal,2020,7
 Michael Herbig,Hui Buh - das Schlossgespenst,2006,4.7
 Michael Herbig,Vier Gegen Die Bank,2016,5.8
 Michael Herbig,Jim Button and Luke the Engine Driver,2019,6.3
 Michael Hitchcock,Mascots,2016,5.7
 Michael Horse,Twin Peaks,2017,8.5
 Michael Hui,Teppanyaki,1984,6
 Michael Hui,Robin-B-Hood,2006,6.6
 Michael Hutchence,Mystify: Michael Hutchence,2019,7.3
 Michael Ian Black,Sextuplets,2019,4.4
 Michael Imperioli,The Lovebirds,2008,5.6
 Michael Imperioli,Nicky Deuce,2013,5.8
 Michael Ironside,The Next Karate Kid,1994,4.5
 Michael Ironside,Major Payne,1995,6.3
 Michael J. Fox,President,1995,6.8
 Michael J. Willett,G.B.F.,2014,5.9
 Michael Jackson,Michael Jacksons This Is It,2009,7.2
 Michael Jackson,Leaving Neverland,2019,7
 Michael Jai White,Spawn: The Movie,1997,5.3
 Michael Jai White,Undisputed 2: Last Man Standing,2007,7.1
 Michael Jai White,Never Back Down 2: The Beatdown,2011,5.7
 Michael Jai White,Falcon Rising,2014,5.8
 Michael Jai White,The Crooked Man,2016,4.3
 Michael Jai White,Chocolate City: Vegas Strip,2017,3.8
 Michael Jai White,Dragged Across Concrete,2019,6.9
 Michael Jai White,Undercover Brother 2,2019,3.4
 Michael Jai White,The Hard Way,2019,4.8
 Michael James Regan,Recall,2019,2.9
 Michael Keaton,Night Shift,1982,6.6
 Michael Keaton,Batman,1989,7.5
 Michael Keaton,Batman Returns,1992,7
 Michael Keaton,My Life,1993,6.9
 Michael Keaton,Jack Frost,1998,5.4
 Michael Keaton,Post Grad,2009,5.3
 Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7
 Michael Keaton,RoboCop,2014,6.1
 Michael Keaton,Minions,2015,6.4
 Michael Keaton,Spotlight,2015,8.1
 Michael Keaton,Spotlight,2015,8.1
 Michael Keaton,Spider-Man: Homecoming,2017,7.4
 Michael Keaton,The Founder,2017,7.2
 Michael Kenneth Fahr,Shadow,2019,4.6
 Michael Kenneth Williams,When the Bough Breaks,2016,5.2
 Michael Kenneth Williams,Superfly,2018,5.2
 Michael Kenneth Williams,Critical Thinking,2020,6.4
 Michael Kind,Viktoria,2015,6.9
 Michael Kitchen,Out of Africa,1985,7.2
 Michael Kopsa,Apollo 18,2011,5.2
 Michael Kopsa,Викинг 18+,2011,5.2
 Michael Landes,Final Destination 2,2003,6.2
 Michael Learned,Dragon: The Bruce Lee Story,1993,7
 Michael Lee Gogin,Fear and Loathing in Las Vegas,1998,7.6
 Michael Lindsay,Marmalade Boy,1994,7.2
 Michael Lonsdale,Stolen Kisses,1969,7.7
 Michael Lonsdale,Stavisky...,1974,6.6
 Michael Lynch,Hitlers Circle of Evil,2018,8
 Michael Madsen,Reservoir Dogs,1992,8.3
 Michael Madsen,Species,1995,5.8
 Michael Madsen,Donnie Brasco,1997,7.7
 Michael Madsen,Species II,1998,4.5
 Michael Mando,The Hummingbird Project,2019,6.2
 Michael Mantell,Oceans Thirteen,2007,6.9
 Michael Marchand,Patriots Day,2017,7.4
 Michael McConnohie,Paranoia Agent,2005,8.1
 Michael McConnohie,Tiger and Bunny,2011,7.5
 Michael McElhatton,Autopsy of Jane Doe,2016,6.8
 Michael McGrady,Rage,2014,5
 Michael McGrady,Rage,2014,5
 Michael McIntyre,Michael McIntyres Comedy Roadshow,2009,7
 Michael McKean,Short Circuit 2,1988,5.8
 Michael McKean,Whatever Works,2009,7.1
 Michael Mitton,Okja,2017,7.3
 Michael Mobley,Uncorked,2020,6.2
 Michael Monks,Bound,2016,3.5
 Michael Moriarty,Pale Rider,1985,7.3
 Michael Mormentyn,Sheep & Wolves 2: Pig Deal,2014,5.9
 Michael Musto,I Am Divine,2014,7.6
 Michael Nuccio,In the Cut,2003,5.3
 Michael Nyqvist,The Guy in the Grave Next Door,2002,5.5
 Michael Nyqvist,Millennium,2010,8.4
 Michael Nyqvist,Disconnect,2013,7.5
 Michael Nyqvist,John Wick,2014,7.4
 Michael Nyqvist,A Serious Game,2016,6.3
 Michael Nyqvist,You Disappear,2017,5.9
 Michael O'Neill,The Stand at Paxton County,2020,6.3
 Michael Ontkean,In Defense of a Married Man,1990,5.6
 Michael Ontkean,Twin Peaks,1990,8.8
 Michael Palin,Monty Python: The Meaning of Live,2014,7.6
 Michael Papajohn,Nightcrawler,2014,7.9
 Michael Parks,Greater,2016,7.3
 Michael Parks,Blood Father,2016,6.4
 Michael Pas,De Ridder,2013,7.1
 Michael Peterson,The Staircase,2004,7.9
 Michael Peña,Shooter,2007,7.2
 Michael Peña,Neighbor For Sale,2011,6.4
 Michael Peña,Turbo,2013,6.4
 Michael Peña,Fury,2014,7.6
 Michael Peña,The Vatican Tapes,2015,4.8
 Michael Peña,CHIPS,2017,6
 Michael Peña,War on Everyone,2017,5.8
 Michael Peña,12 Strong,2018,6.6
 Michael Peña,Next Gen,2018,6.6
 Michael Preston,Mad Max 2: The Road Warrior,1982,7.6
 Michael Rainey Jr.,Lee Daniels The Butler,2013,7.2
 Michael Rapaport,The 6th Day,2000,5.9
 Michael Reilly Burke,My All American,2015,7.2
 Michael Reiter,Jeffrey Epstein: Filthy Rich,2020,7.1
 Michael Roark,Bennetts War,2019,5.8
 Michael Rooker,Sea of Love,1989,6.8
 Michael Rooker,The Replacement Killers,1998,6.2
 Michael Rooker,The 6th Day,2000,5.9
 Michael Rouse,Murder on The Orient Express,2017,6.5
 Michael Saucedo,Traffic,2001,7.6
 Michael Shaked,The Devil Next Door,2019,7.6
 Michael Shannon,Machine Gun Preacher,2011,6.8
 Michael Shannon,Man of Steel,2013,7
 Michael Shannon,The Iceman,2013,6.8
 Michael Shannon,Nocturnal Animals,2016,7.5
 Michael Shannon,Elvis and Nixon,2016,6.4
 Michael Shannon,The Shape of Water,2017,7.3
 Michael Shannon,Pottersville,2017,5.4
 Michael Shannon,What They Had,2018,6.6
 Michael Sheen,Underworld,2003,7
 Michael Sheen,Underworld: Rise of the Lycans,2009,6.6
 Michael Sheen,The Adventurer: The Curse of the Midas Box,2013,5.5
 Michael Sheen,Passengers,2016,7
 Michael Sheen,Attacking the Devil: Harold Evans and the Last Nazi War Crime,2016,8.1
 Michael Sheen,Home Again,2017,5.8
 Michael Sheen,Brads Status,2017,6.5
 Michael Sheen,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2017,6.1
 Michael Sheen,Slaughterhouse Rulez,2019,5.3
 Michael Sheen,Staged,2020,8.7
 Michael Sheen,Dolittle,2020,5.6
 Michael Showalter,Wet Hot American Summer,2015,7.4
